Data,Category,Ativos,ANR,Falhas,Views,Instalações,Visibility,Total Reviews,Rate,fiveStars,fourStars,threeStars,twoStars,oneStar,total,score,poisition,App,Aquisição de Usuários,Nota Média,Desinstalações,Visualizações,Instalações Unicas,Conversão
2020-01-01,SHOPPING,3135,-,4,,22,,,,,,,,,,,200+,3CASH,16,-,28,73,15,20.5%
2020-01-02,SHOPPING,3130,-,2,,40,,,,,,,,,,,200+,3CASH,29,-,33,121,20,16.5%
2020-01-03,SHOPPING,3131,-,-,,36,,,,,,,,,,,200+,3CASH,31,5,35,122,22,18.0%
2020-01-04,SHOPPING,3129,1,1,,40,,,,,,,,,,,200+,3CASH,31,-,35,124,20,16.1%
2020-01-05,SHOPPING,3133,-,-,,41,,,,,,,,,,,200+,3CASH,38,-,33,60,16,26.7%
2020-01-06,SHOPPING,3155,-,-,,29,,,,,,,,,,,200+,3CASH,21,-,25,75,17,22.7%
2020-01-07,SHOPPING,3145,-,-,,51,,,,,,,,,,,200+,3CASH,42,-,36,100,38,38.0%
2020-01-08,SHOPPING,3153,-,13,,47,,,,,,,,,,,200+,3CASH,39,5,35,104,39,37.5%
2020-01-09,SHOPPING,3180,-,7,,62,,,,,,,,,,,200+,3CASH,45,-,31,109,41,37.6%
2020-01-10,SHOPPING,3193,-,4,,73,,,,,,,,,,,200+,3CASH,50,-,43,114,33,28.9%
2020-01-11,SHOPPING,3232,-,2,,62,,,,,,,,,,,200+,3CASH,43,-,31,118,43,36.4%
2020-01-12,SHOPPING,3217,1,3,,47,,,,,,,,,,,200+,3CASH,39,-,48,70,20,28.6%
2020-01-13,SHOPPING,3267,-,-,,102,,,,,,,,,,,200+,3CASH,81,-,35,121,48,39.7%
2020-01-14,SHOPPING,3328,-,3,,104,,,,,,,,,,,200+,3CASH,87,5,47,131,54,41.2%
2020-01-15,SHOPPING,3362,-,-,,75,,,,,,,,,,,200+,3CASH,63,3,38,144,55,38.2%
2020-01-16,SHOPPING,3409,-,-,,88,,,,,,,,,,,200+,3CASH,77,5,32,137,70,51.1%
2020-01-17,SHOPPING,3456,-,1,,96,,,,,,,,,,,200+,3CASH,75,-,36,142,70,49.3%
2020-01-18,SHOPPING,3503,-,-,,63,,,,,,,,,,,200+,3CASH,53,-,29,128,50,39.1%
2020-01-19,SHOPPING,3501,-,1,,46,,,,,,,,,,,200+,3CASH,35,5,33,107,29,27.1%
2020-01-20,SHOPPING,3529,-,-,,60,,,,,,,,,,,200+,3CASH,44,-,35,117,42,35.9%
2020-01-21,SHOPPING,3572,-,1,,79,,,,,,,,,,,200+,3CASH,72,-,28,138,68,49.3%
2020-01-22,SHOPPING,3619,-,-,,86,,,,,,,,,,,200+,3CASH,76,-,37,135,70,51.9%
2020-01-23,SHOPPING,3635,2,-,,73,,,,,,,,,,,200+,3CASH,71,-,46,151,66,43.7%
2020-01-24,SHOPPING,3698,1,-,,87,,,,,,,,,,,200+,3CASH,77,-,24,163,71,43.6%
2020-01-25,SHOPPING,3739,-,1,,65,,,,,,,,,,,200+,3CASH,60,-,31,70,28,40.0%
2020-01-26,SHOPPING,3780,-,2,,83,,,,,,,,,,,200+,3CASH,80,-,42,126,68,54.0%
2020-01-27,SHOPPING,3820,-,5,,92,,,,,,,,,,,200+,3CASH,91,-,51,160,79,49.4%
2020-01-28,SHOPPING,3874,1,8,,105,,,,,,,,,,,200+,3CASH,98,5,57,161,86,53.4%
2020-01-29,SHOPPING,3939,1,1,,100,,,,,,,,,,,200+,3CASH,86,-,37,148,80,54.1%
2020-01-30,SHOPPING,3978,1,4,,100,,,,,,,,,,,200+,3CASH,87,5,37,164,73,44.5%
