Data,Category,Ativos,ANR,Falhas,Views,Instalações,Visibility,Total Reviews,Rate,fiveStars,fourStars,threeStars,twoStars,oneStar,total,score,poisition,App,Aquisição de Usuários,Nota Média,Desinstalações,Visualizações,Instalações Unicas,Conversão,AIS
2020-01-01,AUTO_AND_VEHICLES,2404946,150,465,,9125,,,,66284,8560,2923,1909,9876,89552,"4,334",200+,abastece aí: cashback e descontos pra valer,4709,"4,5",9390,6882,4284,62.2%,improve 3
2020-01-02,AUTO_AND_VEHICLES,2407135,80,669,,15629,,,,66573,8601,2930,1896,9665,89665,"4,344",200+,abastece aí: cashback e descontos pra valer,7623,"3,83",10065,10966,6937,63.3%,improve 3
2020-01-03,AUTO_AND_VEHICLES,2408179,137,628,,16848,,,,66742,8632,2897,1924,9534,89729,"4,35",200+,abastece aí: cashback e descontos pra valer,8099,"3,98",12058,11680,7386,63.2%,improve 3
2020-01-04,AUTO_AND_VEHICLES,2409860,84,924,,15610,,,,66771,8604,2868,1935,9637,89815,"4,346",200+,abastece aí: cashback e descontos pra valer,7657,"4,12",10299,10993,6984,63.5%,improve 3
2020-01-05,AUTO_AND_VEHICLES,2411837,162,417,,12506,,,,66814,8610,2870,1936,9643,89873,"4,346",200+,abastece aí: cashback e descontos pra valer,6394,"3,19",8306,9229,5777,62.6%,improve 3
2020-01-06,AUTO_AND_VEHICLES,2413621,145,1466,,14821,,,,66857,8615,2871,1938,9650,89931,"4,346",200+,abastece aí: cashback e descontos pra valer,7045,"4,44",9426,10275,6401,62.3%,improve 3
2020-01-07,AUTO_AND_VEHICLES,2417067,123,1441,,14827,,,,66660,8668,2929,1956,9822,90035,"4,337",200+,abastece aí: cashback e descontos pra valer,7011,"4,55",8101,10379,6452,62.2%,improve 3
2020-01-08,AUTO_AND_VEHICLES,2418884,147,1121,,15260,,,,66683,8710,2933,1979,9926,90231,"4,333",200+,abastece aí: cashback e descontos pra valer,7197,"4,53",10114,10387,6572,63.3%,improve 3
2020-01-09,AUTO_AND_VEHICLES,2420427,150,1104,,14851,,,,67003,8740,2843,1979,9866,90431,"4,338",200+,abastece aí: cashback e descontos pra valer,7138,"4,49",9817,10382,6527,62.9%,improve 3
2020-01-10,AUTO_AND_VEHICLES,2421220,134,1266,,14947,,,,67321,8723,2810,1967,9788,90609,"4,344",200+,abastece aí: cashback e descontos pra valer,7145,"4,5",10752,10344,6510,62.9%,improve 3
2020-01-11,AUTO_AND_VEHICLES,2428543,69,1247,,14567,,,,67451,8775,2821,1988,9779,90814,"4,345",200+,abastece aí: cashback e descontos pra valer,7081,"4,66",9610,10240,6459,63.1%,improve 3
2020-01-12,AUTO_AND_VEHICLES,2420322,70,864,,12420,,,,67688,8828,2875,1970,9702,91063,"4,349",200+,abastece aí: cashback e descontos pra valer,6158,"4,51",12598,8986,5588,62.2%,improve 3
2020-01-13,AUTO_AND_VEHICLES,2422337,62,1481,,15175,,,,68066,8863,2880,1977,9455,91241,"4,36",200+,abastece aí: cashback e descontos pra valer,7249,"4,51",10071,10890,6569,60.3%,improve 3
2020-01-14,AUTO_AND_VEHICLES,2425822,65,1116,,15883,,,,68301,8860,2842,1979,9463,91445,"4,362",200+,abastece aí: cashback e descontos pra valer,7683,"4,63",8920,11183,6957,62.2%,improve 3
2020-01-15,AUTO_AND_VEHICLES,2424425,125,1110,,15166,,,,68434,8877,2848,1982,9481,91622,"4,362",200+,abastece aí: cashback e descontos pra valer,7423,"4,55",13546,10716,6712,62.6%,improve 3
2020-01-16,AUTO_AND_VEHICLES,2425691,74,1060,,14699,,,,68591,8897,2855,1987,9503,91833,"4,362",200+,abastece aí: cashback e descontos pra valer,7224,"4,54",10150,10196,6578,64.5%,improve 3
2020-01-17,AUTO_AND_VEHICLES,2428813,99,820,,15173,,,,68748,8918,2861,1991,9525,92043,"4,362",200+,abastece aí: cashback e descontos pra valer,7576,"4,53",8933,10580,6912,65.3%,improve 3
