Data,Category,Ativos,ANR,Falhas,Views,Instalações,Visibility,Total Reviews,Rate,fiveStars,fourStars,threeStars,twoStars,oneStar,total,score,poisition,App,Aquisição de Usuários,Nota Média,Desinstalações,Visualizações,Instalações Unicas,Conversão
02/10/2020,FINANCE,1008943,156,303,,15124,,,,7499,1125,894,814,2754,13086,"3,749",26,iti Itaú: conta digital pra pagar e transferir,10267,"4,26",14978,33366,9953,29.8%
03/10/2020,FINANCE,1008620,111,251,,13531,,,,8932,1178,929,603,1993,13635,"4,06",29,iti Itaú: conta digital pra pagar e transferir,9281,"4,69",12900,36888,9013,24.4%
04/10/2020,FINANCE,1006778,57,98,,9662,,,,9863,1173,795,477,1551,13859,"4,25",26,iti Itaú: conta digital pra pagar e transferir,6162,"4,56",10788,26898,5979,22.2%
05/10/2020,FINANCE,1004604,94,64,,9289,,,,10202,1185,803,460,1303,13953,"4,327",27,iti Itaú: conta digital pra pagar e transferir,5913,"4,58",10734,22818,5770,25.3%
06/10/2020,FINANCE,1004076,86,1146,,12796,,,,10466,1258,753,426,1159,14062,"4,383",31,iti Itaú: conta digital pra pagar e transferir,7887,"4,47",12443,23164,7661,33.1%
07/10/2020,FINANCE,1004867,115,914,,17475,,,,12433,1355,508,223,415,14934,"4,685",33,iti Itaú: conta digital pra pagar e transferir,11936,"4,75",15693,42972,11724,27.3%
08/10/2020,FINANCE,1006412,94,1212,,16805,,,,12665,1491,419,214,482,15271,"4,679",31,iti Itaú: conta digital pra pagar e transferir,10950,"4,69",14265,37295,10659,28.6%
09/10/2020,FINANCE,1004857,95,294,,13835,,,,12887,1400,437,198,486,15408,"4,687",32,iti Itaú: conta digital pra pagar e transferir,8768,"4,4",14138,30581,8505,27.8%
10/10/2020,FINANCE,1004533,92,291,,13624,,,,12863,1454,456,214,531,15518,"4,669",32,iti Itaú: conta digital pra pagar e transferir,8510,"4,33",12796,29059,8266,28.4%
11/10/2020,FINANCE,1003716,59,166,,10067,,,,12830,1428,456,223,631,15568,"4,644",33,iti Itaú: conta digital pra pagar e transferir,6141,"3,83",10016,19629,5917,30.1%
12/10/2020,FINANCE,1002187,56,71,,8915,,,,12839,1448,448,209,657,15601,"4,641",31,iti Itaú: conta digital pra pagar e transferir,5562,"4,08",9710,15843,5414,34.2%
13/10/2020,FINANCE,1000968,80,119,,10308,,,,12767,1452,465,242,717,15643,"4,618",30,iti Itaú: conta digital pra pagar e transferir,6939,"3,67",10628,17365,6779,39.0%
14/10/2020,FINANCE,1003823,101,230,,16711,,,,12749,1487,465,241,770,15712,"4,604",30,iti Itaú: conta digital pra pagar e transferir,10133,"4,39",12638,25278,9875,39.1%
15/10/2020,FINANCE,1006556,137,232,,18727,,,,12734,1467,517,250,802,15770,"4,59",29,iti Itaú: conta digital pra pagar e transferir,12489,"4,29",14692,29857,12159,40.7%
16/10/2020,FINANCE,1008090,114,237,,18096,,,,12657,1469,557,261,869,15813,"4,567",27,iti Itaú: conta digital pra pagar e transferir,12495,"3,46",15549,30645,12170,39.7%
17/10/2020,FINANCE,1009715,102,227,,17230,,,,12636,1497,552,241,914,15840,"4,559",28,iti Itaú: conta digital pra pagar e transferir,11690,"4,09",14413,31286,11427,36.5%
18/10/2020,FINANCE,1009759,80,91,,12495,,,,12601,1513,561,276,935,15886,"4,546",27,iti Itaú: conta digital pra pagar e transferir,8378,4,11441,24209,8129,33.6%
19/10/2020,FINANCE,1009322,55,143,,10902,,,,12597,1510,562,289,956,15914,"4,54",28,iti Itaú: conta digital pra pagar e transferir,7545,"4,22",10756,23399,7359,31.5%
20/10/2020,FINANCE,1013860,152,243,,19939,,,,12563,1512,598,299,984,15956,"4,527",28,iti Itaú: conta digital pra pagar e transferir,13828,"4,09",14014,38094,13480,35.4%
21/10/2020,FINANCE,1017764,135,186,,19338,,,,12502,1524,605,306,1080,16017,"4,502",27,iti Itaú: conta digital pra pagar e transferir,13490,"3,87",14369,38206,13116,34.3%
22/10/2020,FINANCE,1021685,152,225,,19574,,,,12476,1568,592,315,1110,16061,"4,493",27,iti Itaú: conta digital pra pagar e transferir,13600,"3,84",14634,37613,13231,35.2%
23/10/2020,FINANCE,1024081,128,222,,18071,,,,12446,1555,619,324,1157,16101,"4,478",29,iti Itaú: conta digital pra pagar e transferir,12583,"4,07",14489,35954,12258,34.1%
24/10/2020,FINANCE,1023393,105,179,,17521,,,,12429,1537,638,333,1203,16140,"4,465",27,iti Itaú: conta digital pra pagar e transferir,10944,"3,61",17042,33445,10531,31.5%
25/10/2020,FINANCE,1024857,70,153,,13962,,,,12449,1535,638,337,1205,16164,"4,465",26,iti Itaú: conta digital pra pagar e transferir,7051,"4,4",11468,23194,6786,29.3%
26/10/2020,FINANCE,1022863,74,114,,10530,,,,12468,1524,652,347,1198,16189,"4,465",26,iti Itaú: conta digital pra pagar e transferir,6770,"4,27",11702,21756,6576,30.2%
27/10/2020,FINANCE,1021548,131,432,,16765,,,,12400,1533,658,371,1260,16222,"4,445",26,iti Itaú: conta digital pra pagar e transferir,10427,"3,41",16817,29458,10094,34.3%
28/10/2020,FINANCE,1024667,136,421,,18687,,,,12404,1526,697,366,1263,16256,"4,442",27,iti Itaú: conta digital pra pagar e transferir,10007,"4,08",14048,25288,9679,38.3%
29/10/2020,FINANCE,1028812,141,306,,18348,,,,12385,1549,700,373,1291,16298,"4,433",29,iti Itaú: conta digital pra pagar e transferir,11811,"4,27",12953,32609,11527,35.3%
30/10/2020,FINANCE,1033542,131,339,,18716,,,,12425,1540,706,366,1313,16350,"4,431",26,iti Itaú: conta digital pra pagar e transferir,12649,"4,31",12899,34403,12254,35.6%
31/10/2020,FINANCE,1039837,162,1159,,20726,,,,12447,1547,699,375,1365,16433,"4,42",26,iti Itaú: conta digital pra pagar e transferir,14284,"4,06",13480,37843,13727,36.3%
01/11/2020,FINANCE,1042778,154,283,,15376,,,,12453,1578,699,388,1361,16479,"4,418",26,iti Itaú: conta digital pra pagar e transferir,10624,"4,13",11487,0,0,0.0%
02/11/2020,FINANCE,1043334,69,216,,12922,,,,11460,1695,892,485,1982,16514,"4,221",24,iti Itaú: conta digital pra pagar e transferir,8955,"4,24",11811,0,0,0.0%
03/11/2020,FINANCE,1045974,129,324,,16837,,,,11530,1670,869,492,1999,16560,"4,222",24,iti Itaú: conta digital pra pagar e transferir,11413,"4,2",13750,0,0,0.0%
04/11/2020,FINANCE,1051620,125,630,,22616,,,,11494,1682,869,519,2032,16596,"4,21",22,iti Itaú: conta digital pra pagar e transferir,15814,"3,45",15636,0,0,0.0%
