Data,Category,Ativos,ANR,Falhas,Views,Instalações,Visibility,Total Reviews,Rate,fiveStars,fourStars,threeStars,twoStars,oneStar,total,score,poisition,App,Aquisição de Usuários,Nota Média,Desinstalações,Visualizações,Instalações Unicas,Conversão,AIS
06/10/2020,MAPS_AND_NAVIGATION,245872,2919,549,,7537,,,,2042,239,153,86,201,2721,"4,408",9,"Quicko: Como chegar, trajetos e horário de ônibus",6130,"4,32",6.625,18213,6005,33.0%,
07/10/2020,MAPS_AND_NAVIGATION,246821,3121,121,,7043,,,,2030,245,176,98,196,2745,"4,389",9,"Quicko: Como chegar, trajetos e horário de ônibus",5651,"4,63",6.046,17344,5534,31.9%,
08/10/2020,MAPS_AND_NAVIGATION,248050,2685,105,,7739,,,,2041,270,180,90,189,2770,"4,401",9,"Quicko: Como chegar, trajetos e horário de ônibus",6213,"4,46",6.360,20951,6109,29.2%,
09/10/2020,MAPS_AND_NAVIGATION,249585,2618,115,,8133,,,,1996,280,210,90,210,2786,"4,349",9,"Quicko: Como chegar, trajetos e horário de ônibus",6512,"4,11",6.465,19682,6373,32.4%,
10/10/2020,MAPS_AND_NAVIGATION,251292,1499,97,,7363,,,,2000,287,200,86,229,2802,"4,334",9,"Quicko: Como chegar, trajetos e horário de ônibus",5853,"4,36",5.565,17905,5702,31.8%,
11/10/2020,MAPS_AND_NAVIGATION,253576,2293,124,,8515,,,,2006,297,195,83,232,2813,"4,337",9,"Quicko: Como chegar, trajetos e horário de ônibus",6785,"3,91",5.980,21862,6609,30.2%,
12/10/2020,MAPS_AND_NAVIGATION,255423,1935,135,,8664,,,,1976,304,205,98,241,2824,"4,301",9,"Quicko: Como chegar, trajetos e horário de ônibus",6920,"3,23",6.725,22680,6747,29.7%,
13/10/2020,MAPS_AND_NAVIGATION,257074,3498,114,,9054,,,,1965,312,201,100,262,2840,"4,273",9,"Quicko: Como chegar, trajetos e horário de ônibus",7395,"4,47",7.113,23337,7230,31.0%,
14/10/2020,MAPS_AND_NAVIGATION,258913,3624,143,,9037,,,,1969,300,225,93,272,2859,"4,259",8,"Quicko: Como chegar, trajetos e horário de ônibus",7244,"4,26",7.023,26241,7107,27.1%,
15/10/2020,MAPS_AND_NAVIGATION,260051,2872,189,,8284,,,,1960,320,240,89,267,2876,"4,257",8,"Quicko: Como chegar, trajetos e horário de ônibus",6603,"4,13",6.972,21943,6411,29.2%,
16/10/2020,MAPS_AND_NAVIGATION,260710,3435,103,,7682,,,,1980,298,258,79,278,2893,"4,251",8,"Quicko: Como chegar, trajetos e horário de ônibus",5985,"3,92",6.819,20950,5815,27.8%,
17/10/2020,MAPS_AND_NAVIGATION,262117,1634,129,,7531,,,,1994,290,261,77,280,2902,"4,253",8,"Quicko: Como chegar, trajetos e horário de ônibus",6005,4,6.014,20420,5902,28.9%,
18/10/2020,MAPS_AND_NAVIGATION,263285,1382,64,,7590,,,,2011,287,268,74,278,2918,"4,26",8,"Quicko: Como chegar, trajetos e horário de ônibus",6062,"4,56",6.217,20955,5914,28.2%,
19/10/2020,MAPS_AND_NAVIGATION,264200,1850,75,,7644,,,,1968,326,278,67,297,2936,"4,225",8,"Quicko: Como chegar, trajetos e horário de ônibus",6078,"4,43",6.516,19333,5941,30.7%,
20/10/2020,MAPS_AND_NAVIGATION,265208,3651,82,,7801,,,,1975,330,291,68,291,2955,"4,227",8,"Quicko: Como chegar, trajetos e horário de ônibus",6076,"4,62",6.711,20201,5898,29.2%,
21/10/2020,MAPS_AND_NAVIGATION,266148,3106,195,,7266,,,,2066,307,288,57,259,2977,"4,297",8,"Quicko: Como chegar, trajetos e horário de ônibus",5586,"4,85",6.167,20873,5495,26.3%,
22/10/2020,MAPS_AND_NAVIGATION,266905,2773,77,,7442,,,,2101,317,297,39,237,2991,"4,338",8,"Quicko: Como chegar, trajetos e horário de ônibus",5778,"4,57",6.462,20876,5635,27.0%,
23/10/2020,MAPS_AND_NAVIGATION,267152,3341,112,,7741,,,,2084,334,325,47,239,3029,"4,312",6,"Quicko: Como chegar, trajetos e horário de ônibus",5795,"4,2",7.557,20360,5651,27.8%,
24/10/2020,MAPS_AND_NAVIGATION,269054,2900,115,,8202,,,,2122,339,300,58,261,3080,"4,299",7,"Quicko: Como chegar, trajetos e horário de ônibus",5795,"4,44",6.201,21536,5675,26.4%,
25/10/2020,MAPS_AND_NAVIGATION,269740,2461,89,,7339,,,,2137,329,299,89,249,3103,"4,293",7,"Quicko: Como chegar, trajetos e horário de ônibus",5669,"4,25",6.527,22020,5483,24.9%,
26/10/2020,MAPS_AND_NAVIGATION,270099,2647,70,,8086,,,,2142,337,289,96,260,3124,"4,281",6,"Quicko: Como chegar, trajetos e horário de ônibus",6081,4,7.583,22689,5907,26.0%,
27/10/2020,MAPS_AND_NAVIGATION,272438,3160,159,,10202,,,,2208,322,283,87,254,3154,"4,313",6,"Quicko: Como chegar, trajetos e horário de ônibus",7225,"4,26",7.731,31684,7029,22.2%,
28/10/2020,MAPS_AND_NAVIGATION,273926,2882,84,,8587,,,,2250,314,267,85,267,3183,"4,317",6,"Quicko: Como chegar, trajetos e horário de ônibus",6569,"4,33",6.913,37577,6473,17.2%,
29/10/2020,MAPS_AND_NAVIGATION,275451,2149,79,,8114,,,,2300,318,239,99,248,3204,"4,348",6,"Quicko: Como chegar, trajetos e horário de ônibus",6389,"4,45",6.516,36514,6216,17.0%,
30/10/2020,MAPS_AND_NAVIGATION,276199,4357,165,,7890,,,,2319,348,209,109,248,3233,"4,354",6,"Quicko: Como chegar, trajetos e horário de ônibus",6156,"4,31",6.822,29099,5919,20.3%,
31/10/2020,MAPS_AND_NAVIGATION,277209,2743,399,,7051,,,,2324,367,207,122,235,3255,"4,358",6,"Quicko: Como chegar, trajetos e horário de ônibus",5455,"4,45",5.989,0,0,0.0%,
01/11/2020,MAPS_AND_NAVIGATION,278718,1530,45,,7905,,,,2359,358,209,139,209,3274,"4,38",6,"Quicko: Como chegar, trajetos e horário de ônibus",6129,"4,58",6.456,0,0,0.0%,
02/11/2020,MAPS_AND_NAVIGATION,279777,2928,69,,8331,,,,2388,352,199,133,218,3290,"4,384",7,"Quicko: Como chegar, trajetos e horário de ônibus",6381,"4,5",7.047,0,0,0.0%,
03/11/2020,MAPS_AND_NAVIGATION,280964,3122,59,,8156,,,,2284,407,208,139,278,3316,"4,29",6,"Quicko: Como chegar, trajetos e horário de ônibus",6350,"3,6",6.799,0,0,0.0%,
04/11/2020,MAPS_AND_NAVIGATION,,4017,84,,8374,,,,2317,411,210,134,258,3330,"4,319",6,"Quicko: Como chegar, trajetos e horário de ônibus",6535,6535,6.913,,,,
