,Data,Category,Ativos,ANR,Falhas,Instalações,fiveStars,fourStars,threeStars,twoStars,oneStar,total,score,App,Aquisição de Usuários,Nota Média,Desinstalações,Visualizações,Instalações Unicas,Conversão,ViewsNaoOrganica,InstalacoesNaoOrganicas,ConversaoNaoOrganica,ViewsOrganicas,InstalacoesOrganicas,ConversaOrganica,position
87,27/08/2019,MAPS_AND_NAVIGATION,17635242,120052,2042,152540,772821,100896,42772,21696,94190,1032375,4.391,99 Passageiro - Motorista Particular e Táxi,50559,4.53,123771,397197,47849,12.0,288346,18383,6.4,108751,29407,27.0,1
95,04/09/2019,MAPS_AND_NAVIGATION,17828654,222921,2458,179999,794444,103044,43205,21172,87559,1049424,4.425,99 Passageiro - Motorista Particular e Táxi,60437,4.53,130824,463206,58662,12.7,335856,29892,8.9,127260,28730,22.6,1
103,12/09/2019,MAPS_AND_NAVIGATION,18111739,43211,1786,175256,844342,103999,40304,18079,66144,1072868,4.531,99 Passageiro - Motorista Particular e Táxi,58075,4.58,139755,321403,53687,16.7,197420,24591,12.5,123892,29050,23.4,1
104,13/09/2019,MAPS_AND_NAVIGATION,18145232,56012,1792,200979,846094,103444,39865,17380,63169,1069952,4.544,99 Passageiro - Motorista Particular e Táxi,66478,4.56,131976,306938,60385,19.7,159295,25352,15.9,147549,34975,23.7,1
106,15/09/2019,MAPS_AND_NAVIGATION,18245926,33359,1461,202211,857209,105017,39844,17209,61053,1080332,4.555,99 Passageiro - Motorista Particular e Táxi,70620,4.57,141961,354384,62479,17.6,167832,21473,12.8,186466,40966,22.0,1
107,16/09/2019,MAPS_AND_NAVIGATION,18242376,60887,1673,170465,856919,105136,39691,17132,60237,1079115,4.558,99 Passageiro - Motorista Particular e Táxi,55546,4.55,139132,315096,49208,15.6,130357,16597,12.7,184670,32569,17.6,1
108,17/09/2019,MAPS_AND_NAVIGATION,18256158,36672,1614,164733,855964,104927,39645,17153,60032,1077721,4.559,99 Passageiro - Motorista Particular e Táxi,53063,4.57,117696,271409,47316,17.4,114361,16127,14.1,156979,31156,19.8,1
111,20/09/2019,MAPS_AND_NAVIGATION,18297380,57568,1743,200056,861273,105665,40045,17316,60287,1084586,4.558,99 Passageiro - Motorista Particular e Táxi,64252,4.56,125995,293416,57709,19.7,118689,20760,17.5,174636,36906,21.1,1
112,21/09/2019,MAPS_AND_NAVIGATION,18348902,56447,1823,232313,802699,98774,37674,16248,56200,1011595,4.557,99 Passageiro - Motorista Particular e Táxi,78390,4.57,142142,303490,69680,23.0,127820,24549,19.2,175573,45093,25.7,1
113,22/09/2019,MAPS_AND_NAVIGATION,18366332,31586,1438,189695,868018,106812,40740,17570,60774,1093914,4.557,99 Passageiro - Motorista Particular e Táxi,64484,4.57,141628,269243,57244,21.3,118862,20940,17.6,150291,36265,24.1,1
155,03/11/2019,MAPS_AND_NAVIGATION,19125767,84893,1498,192734,918217,114625,44281,19830,70074,1167027,4.535,99 Passageiro - Motorista Particular e Táxi,62863,4.39,141252,446562,59342,13.3,201186,15277,7.6,245302,44029,17.9,1
156,04/11/2019,MAPS_AND_NAVIGATION,19140178,44498,1306,174118,919000,114593,44022,19888,70760,1168263,4.533,99 Passageiro - Motorista Particular e Táxi,53127,4.34,125811,341464,49555,14.5,144896,13366,9.2,196486,36149,18.4,1
157,05/11/2019,MAPS_AND_NAVIGATION,19165263,35884,1178,176634,894644,111483,42849,19364,69218,1137558,4.532,99 Passageiro - Motorista Particular e Táxi,53346,4.38,117640,272766,48631,17.8,97961,11310,11.5,174733,37292,21.3,1
158,06/11/2019,MAPS_AND_NAVIGATION,19168483,69304,1574,170699,913732,114151,44064,20022,71271,1163240,4.529,99 Passageiro - Motorista Particular e Táxi,50564,4.37,133193,274970,46006,16.7,94937,10861,11.4,179963,35111,19.5,1
159,07/11/2019,MAPS_AND_NAVIGATION,19172537,49067,1427,185093,905366,113215,43763,19870,70792,1153006,4.529,99 Passageiro - Motorista Particular e Táxi,54627,4.4,145314,278255,49510,17.8,90752,11182,12.3,187435,38292,20.4,1
160,08/11/2019,MAPS_AND_NAVIGATION,19219573,93525,1911,219997,911991,114173,44158,20009,72129,1162460,4.526,99 Passageiro - Motorista Particular e Táxi,65099,4.39,134523,285521,59052,20.7,103860,19366,18.6,181567,39643,21.8,1
161,09/11/2019,MAPS_AND_NAVIGATION,19273961,96281,1812,247166,638616,79905,31001,14058,50800,814380,4.524,99 Passageiro - Motorista Particular e Táxi,76717,4.41,150329,318721,70364,22.1,128735,24859,19.3,189886,45454,23.9,2
162,10/11/2019,MAPS_AND_NAVIGATION,19298542,63792,1438,201911,824248,103200,40406,18235,66146,1052235,4.522,99 Passageiro - Motorista Particular e Táxi,63930,4.37,143420,328681,58866,17.9,142839,21827,15.3,185781,37006,19.9,2
163,11/11/2019,MAPS_AND_NAVIGATION,19313962,63967,1695,188716,911904,114228,44874,20265,73637,1164908,4.52,99 Passageiro - Motorista Particular e Táxi,55119,4.25,136997,326237,51315,15.7,134969,18445,13.7,191181,32831,17.2,2
164,12/11/2019,MAPS_AND_NAVIGATION,19329872,43650,1571,170831,891522,112034,44069,19960,72734,1140319,4.517,99 Passageiro - Motorista Particular e Táxi,49601,4.33,120006,232527,45928,19.8,96053,16154,16.8,136394,29741,21.8,2
165,13/11/2019,MAPS_AND_NAVIGATION,19322742,83566,1772,171224,892064,112360,44117,20002,72898,1141441,4.516,99 Passageiro - Motorista Particular e Táxi,49659,4.3,143201,238225,46136,19.4,100847,16578,16.4,137291,29522,21.5,2
166,14/11/2019,MAPS_AND_NAVIGATION,19336288,46543,1591,214083,904120,114419,44925,20545,75138,1159147,4.511,99 Passageiro - Motorista Particular e Táxi,62436,4.3,161387,290151,57674,19.9,118189,20606,17.4,171868,37013,21.5,2
167,15/11/2019,MAPS_AND_NAVIGATION,19336823,87995,1529,197491,923557,116734,45832,21003,77297,1184423,4.51,99 Passageiro - Motorista Particular e Táxi,60083,4.34,160703,312065,56301,18.0,147405,22117,15.0,164588,34157,20.8,2
168,16/11/2019,MAPS_AND_NAVIGATION,19343286,57066,1340,197170,924035,116859,45948,21065,77661,1185568,4.509,99 Passageiro - Motorista Particular e Táxi,60759,4.42,153019,288227,57152,19.8,141264,22408,15.9,146896,34715,23.6,2
169,17/11/2019,MAPS_AND_NAVIGATION,19347467,34828,1137,174739,923786,117022,45913,21259,78771,1186751,4.505,99 Passageiro - Motorista Particular e Táxi,56047,4.47,139421,296601,54703,18.4,167011,32514,19.5,129522,22158,17.1,2
170,18/11/2019,MAPS_AND_NAVIGATION,19351815,38787,1356,175263,924073,117069,46000,21333,79421,1187896,4.503,99 Passageiro - Motorista Particular e Táxi,52236,4.35,134209,271242,49967,18.4,140457,24310,17.3,130717,25629,19.6,2
171,19/11/2019,MAPS_AND_NAVIGATION,19363082,39429,1321,172843,924661,117161,45886,21372,79837,1188917,4.502,99 Passageiro - Motorista Particular e Táxi,50661,4.44,124903,259339,48022,18.5,129577,21579,16.7,129708,26410,20.4,2
172,20/11/2019,MAPS_AND_NAVIGATION,19381677,81944,1514,181259,924688,117207,46176,21592,80336,1189999,4.499,99 Passageiro - Motorista Particular e Táxi,55028,4.49,125187,296824,52836,17.8,152663,23962,15.7,144095,28835,20.0,2
173,21/11/2019,MAPS_AND_NAVIGATION,19404599,63184,1659,179113,925359,117124,46289,21674,80733,1191179,4.498,99 Passageiro - Motorista Particular e Táxi,54080,4.4,119814,324416,52606,16.2,167447,24641,14.7,156900,27932,17.8,1
174,22/11/2019,MAPS_AND_NAVIGATION,19450324,67894,1644,206377,926065,117010,46288,21723,81202,1192288,4.497,99 Passageiro - Motorista Particular e Táxi,62782,4.38,120903,336143,60816,18.1,180576,27955,15.5,155489,32825,21.1,1
175,23/11/2019,MAPS_AND_NAVIGATION,19521071,76990,1761,245155,926873,116875,46340,21734,81598,1193420,4.496,99 Passageiro - Motorista Particular e Táxi,78039,4.42,133910,357429,73746,20.6,175589,24177,13.8,181757,49527,27.2,1
176,24/11/2019,MAPS_AND_NAVIGATION,19523956,33382,1241,188064,927038,117020,46482,21795,82243,1194578,4.494,99 Passageiro - Motorista Particular e Táxi,60612,4.36,151824,338854,57787,17.1,166520,19760,11.9,172268,37995,22.1,1
177,25/11/2019,MAPS_AND_NAVIGATION,19525283,58738,1512,174590,927453,116936,46547,21783,82906,1195625,4.492,99 Passageiro - Motorista Particular e Táxi,50984,4.38,138328,244830,47102,19.2,104563,15367,14.7,140188,31703,22.6,1
178,26/11/2019,MAPS_AND_NAVIGATION,19542803,50123,1506,176143,928004,116820,46695,21881,83088,1196488,4.492,99 Passageiro - Motorista Particular e Táxi,51220,4.35,123501,219562,47295,21.5,90217,15453,17.1,129266,31807,24.6,1
179,27/11/2019,MAPS_AND_NAVIGATION,19538329,75507,1743,185311,927823,116808,46890,22104,84143,1197768,4.488,99 Passageiro - Motorista Particular e Táxi,53869,4.37,151916,225584,49369,21.9,88350,14613,16.5,137162,34722,25.3,1
